Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Osobni identifikacijski broj,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi,,,,,
Uspješna socijalna integracija kroz podršku i edukaciju,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Udruga Terra ,29551185037,03.12.2010,03.12.2011,"822.416,49 €","983.987,21 €",,,,,
Jednake mogućnosti – Inkluzivno volontiranje kao put prema integraciji i većoj zapošljivosti,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,VOLONTERSKI CENTAR - OSIJEK ,64735588578,03.12.2010,03.12.2011,"768.542,59 €","959.718,56 €",,,,,
Zajednica koja brine – jačanje kapaciteta lokalne zajednice za implementaciju zakona i procedura s ciljem socijalne integracije žrtava obiteljskog nasilja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Centar za zdravo odrastanje IDEM i ja ,25427522929,03.12.2010,03.12.2011,"725.195,39 €","853.171,04 €",,,,,
"Savjetodavni i obrazovni centar ""Saznaj nešto novo i korisno""",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Grad Senj ,61106276570,26.01.2011,26.01.2012,"536.118,07 €","686.626,60 €",,,,,
Ponovno korištenje metala: tehnološka sposobnost za bolje recikliranje ,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,SEKUNDAR USLUGE društvo s ograničenom odgovornošću za trgovinu i usluge ,71392384822,19.06.2013,19.08.2014,"1.531.829,98 €","2.913.886,25 €",,,,,
LogInCloud - Unapređenje infrastrukture potrebite za daljnji razvoj proizvoda i usluga Cloud Computinga (računarstva u Oblaku),Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,Login d.o.o. ,38862460256,19.06.2013,19.09.2014,"1.072.219,43 €","2.079.556,71 €",,,,,
Ubrzana identifikacija stanica u kliničkoj primjeni,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,Institut Ruđer Bošković ,69715301002,19.03.2013,19.03.2015,"4.069.748,15 €","4.834.578,50 €",,,,,
"Jačanje konkurentnosti MSP-ova kroz certificiranje tvrtke, uvođenje nove tehnologije i profesionalni trening",Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,"SABINA, društvo s ograničenom odgovornošću za proizvodnju od drveta i usluge",7426372307,19.06.2013,19.12.2014,"1.447.601,80 €","1.715.371,24 €",,,,,
Uspostava modernog centra za balansiranje,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,Elektromehanička radnja Predrag Penić ,57441345769,19.06.2013,19.04.2015,"736.385,71 €","866.336,15 €",,,,,
Razvoj inovacijskog sustava na Institutu Ruđer Bošković i Sveučilištu u Rijeci,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,Institut Ruđer Bošković ,69715301002,21.10.2010,21.07.2012,"3.154.961,41 €","3.163.502,83 €",,,,,
Aditivne tehnologije za mala i srednje velika poduzeća,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,FAKULTET STROJARSTVA I BRODOGRADNJE SVEUČILIŠTA U ZAGREBU ,22910368449,29.03.2013,29.03.2015,"4.226.742,89 €","5.001.470,66 €",,,,,
Tehnologija električnih strojeva s trajnim magnetom za povećanje energetske učinkovitosti u električnoj vuči i brodskoj propulziji,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,Sveučilište u Zagrebu Fakultet elektrotehnike i računarstva ,57029260362,08.04.2013,08.04.2015,"1.818.760,07 €","2.141.229,16 €",,,,,
"Napredna istraživanja, inovacije i transfer tehnologije u inženjerstvu površina",Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,FAKULTET STROJARSTVA I BRODOGRADNJE SVEUČILIŠTA U ZAGREBU ,22910368449,09.04.2013,09.04.2015,"4.148.373,00 €","5.038.101,80 €",,,,,
Prema poduzetničkom Sveučilištu: prijenos znanja s Medicinskog fakulteta Sveučilišta u Rijeci na biotehnološki poslovni sektor,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,"Sveučilište u Rijeci, Medicinski fakultet",98164324541,19.04.2013,19.04.2015,"3.369.714,63 €","3.964.836,57 €",,,,,
Kompetencijska mreža zasnovana na informacijsko-komunikacijskim tehnologijama za inovativne usluge namijenjene osobama sa složenim komunikacijskim potrebama,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,PRIMORSKO-GORANSKA,Sveučilište u Zagrebu Fakultet elektrotehnike i računarstva ,57029260362,29.03.2013,29.03.2015,"4.210.720,01 €","5.876.790,02 €",,,,,
Model funkcioniranja regionalnog centra za rehabilitaciju,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,CENTAROPREMA RE&ZIN društvo s ograničenom odgovornošću za profesionalnu rehabilitaciju i zapošljavanje osoba s invaliditetom ,17298717892,03.12.2010,03.12.2011,"870.927,67 €","1.040.037,81 €",,,,,
Usklađivanje obrazovanja i karijere,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Gospodarska škola Varaždin ,78424884380,27.09.2010,27.11.2011,"1.212.995,53 €","1.443.870,42 €",,,,,
Županijski centar za gospodarenje otpadom Marišćina,Kohezijski fond,EN,Okoliš,Adriatic Croatia,PRIMORSKO-GORANSKA,Fond za zaštitu okoliša i energetsku učinkovitost ,85828625994,06.04.2009,28.09.2016,"198.296.317,83 €","279.495.110,36 €",,,,,
LO.PA.Z.,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Riječka razvojna agencija PORIN d.o.o. ,29183761133,08.11.2013,08.11.2014,"227.148,95 €","268.370,69 €",,,,,
Na putu prema zaposlenju - Razvoj novih znanja i vještina visokoobrazovanih nezaposlenih osoba,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,UDRUGA ZA RAZVOJ CIVILNOG DRUŠTVA - SMART ,8638812248,21.09.2012,21.03.2014,"1.134.881,39 €","1.194.737,75 €",,,,,
Zapošljavanje mladih za održivi razvoj Gorskog kotara,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,LOKALNA RAZVOJNA AGENCIJA PINS društvo s ograničenom odgovornošću za istraživanje i razvoj u gospodarstvu ,71847686816,02.05.2011,02.05.2012,"503.144,01 €","598.980,93 €",,,,,
Izdavačka akademija,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Udruga Katapult ,69314810833,02.05.2011,02.05.2012,"608.681,20 €","741.841,81 €",,,,,
Ključan je rad,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,RIJEČKA RAZVOJNA AGENCIJA PORIN d. o. o. ,29183761133,11.08.2014,11.11.2015,"1.515.231,05 €","1.922.150,28 €",,,,,
Prema punim potencijalima – Volontiranje osnažuje ljude i zajednice,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Mreža mladih Hrvatske ,25858858563,10.03.2014,10.09.2015,"919.066,98 €","1.177.837,96 €",,,,,
Djelatnik na odobalnoj instalaciji,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,POMORSKO UČILIŠTE NAUTIČKI CENTAR - Ustanova za obrazovanje odraslih ,22002451853,22.10.2010,22.02.2012,"1.529.862,30 €","1.799.838,00 €",,,,,
Osnaživanje škola za razvoj i implementaciju kurikuluma ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Institut za društvena istraživanja u Zagrebu ,11986338639,27.06.2013,18.02.2015,"1.715.818,46 €","1.897.399,63 €",,,,,
"ME4CataLOGue - Hrvatski katalog znanja, vještina i kompetencija za studije strojarstva zasnovan na ishodima učenja (za prediplomski, diplomski i doktorski studij)",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Strojarski fakultet u Slavonskom Brodu, Sveučilište Josipa Jurja Strossmayera u Osijeku",65410788616,27.06.2013,18.02.2015,"2.338.701,46 €","3.226.685,24 €",,,,,
Modernizacija doktorske izobrazbe kroz implementaciju HKO-a,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Sveučilište u Zagrebu ,36612267447,27.06.2013,18.02.2015,"2.029.793,16 €","2.229.806,82 €",,,,,
"Razvoj elemenata kvalifikacija, programa i kurikuluma u dijelu računalne kompetencije u osnovnoškolskom obrazovanju",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Hrvatska akademska i istraživačka mreža - CARNet ,58101996540,27.06.2013,18.02.2015,"3.043.845,72 €","3.346.356,37 €",,,,,
MEDINFO – Razvoj kurikuluma za Interdisciplinarni poslijediplomski specijalistički studij medicinske informatike,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Fakultet organizacije i informatike, Sveučilište u Zagrebu",2024882310,27.06.2013,18.02.2015,"932.424,80 €","1.287.168,42 €",,,,,
Šansa je u mojim rukama,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Centaroprema RE&ZIN društvo s ograničenom odgovornošću za profesionalnu rehabilitaciju i zapošljavanje osoba s invaliditetom ,17298717892,31.03.2015,31.03.2016,"832.465,65 €","876.279,60 €",,,,,
Multidimenzionalna analiza socijalne uključenosti djece s teškoćama i studenata s invaliditetom u obrazovnom procesu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Hrvatski savez gluhoslijepih osoba Dodir ,48953641019,21.08.2013,21.11.2014,"1.030.442,70 €","1.304.522,94 €",,,,,
E-Quality: Povezivanje kvalitete i socijalne uključenosti u visokom obrazovanju u Hrvatskoj,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Institut za razvoj obrazovanja ,88292527040,21.08.2013,21.04.2015,"821.952,57 €","1.041.897,03 €",,,,,
Puž u školi,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,„PUŽ“-Udruga roditelja djece s posebnim potrebama  ,75502271466,21.08.2013,21.12.2014,"1.892.636,77 €","1.992.458,98 €",,,,,
Preduvjeti akademskog uspjeha: rano prepoznavanje jezičnih poteškoća,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Edukacijsko-rehabilitacijski fakultet ,34967762426,21.08.2013,21.02.2015,"1.349.371,66 €","1.647.986,86 €",,,,,
Integracija učenika u multikulturalno školsko okruženje,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,OSNOVNA ŠKOLA PODMURVICE ,84549430488,21.08.2013,21.02.2015,"906.370,08 €","1.078.755,19 €",,,,,
Za bolje sutra,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Turističko-ugostiteljska i prehrambena škola Bjelovar ,39027871727,21.08.2013,21.12.2014,"1.629.816,40 €","2.065.935,33 €",,,,,
Unapređivanje kvalitete studiranja za skupine studenata u nepovoljnom položaju kroz usluge studentskih savjetovališnih službi,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Sveučilište u Zagrebu ,36612267447,21.08.2013,21.02.2015,"1.837.382,05 €","1.938.575,72 €",,,,,
Program obrazovanja i osposobljavanja za njegovatelje starijih i nemoćnih osoba u ustanovama i izvan njih ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Narodno učilište ustanova za obrazovanje i kulturu Rijeka ,30819794669,05.11.2010,05.11.2011,"1.744.696,78 €","2.052.825,98 €",,,,,
Od obrazovanja do zapošljavanja kroz modernizaciju kurikuluma pomorskih strukovnih škola,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Pomorska škola Bakar ,78476125725,21.09.2012,21.09.2013,"1.484.330,29 €","1.617.798,65 €",,,,,
Modernizacija kurikuluma hrvatskih turističkih i ugostiteljskih strukovnih škola – formula uspjeha,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Škola za turizam, ugostiteljstvo i trgovinu Pula",30822226445,21.09.2012,21.09.2013,"1.526.967,32 €","1.676.328,18 €",,,,,
Konkurentna mladež,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Hotelijersko-turistička škola Opatija ,88785560957,21.09.2012,21.09.2013,"990.159,38 €","1.286.255,35 €",,,,,
Višejezično obrazovanje – unaprjeđenje učenja jezika i interkulturalnih vještina,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Srednja škola Andrije Ljudevita Adamića ,28865157685,27.06.2013,18.02.2015,"1.609.193,42 €","1.696.030,20 €",,,,,
Sutra radim - Praksom do uspjeha,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Turističko-ugostiteljska škola Antona Štifanića ,25253841250,21.09.2012,21.09.2013,"1.151.171,42 €","1.324.403,34 €",,,,,
Medijska pismenost za 21. stoljeće,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Grafička škola u Zagrebu ,39884669514,21.09.2012,21.09.2013,"1.355.304,10 €","1.454.501,07 €",,,,,
Sigurno do posla pod Dugom,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Dom za djecu i odrasle - žrtve obiteljskog nasilja Duga-Zagreb ,38198952349,03.09.2013,03.12.2014,"753.662,10 €","837.681,56 €",,,,,
Razvoj nacionalnog standarda kvalifikacije za učitelje kao podloge za uvođenje sustava licenciranja učitelja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Nacionalni centar za vanjsko vrednovanje obrazovanja ,94833993984,27.06.2013,18.02.2015,"1.766.221,02 €","2.576.168,33 €",,,,,
INOVA – inovativne inicijative za zapošljavanje dugotrajno nezaposlenih osoba,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Učilište Studium - ustanova za obrazovanje odraslih ,4198000932,19.01.2015,19.09.2016,"1.531.710,80 €","1.652.509,29 €",,,,,
Za vaše uključivanje,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Hrvatski zavod za zapošljavanje, Područni ured Sisak",91547293790,12.11.2014,12.03.2016,"821.815,01 €","907.080,56 €",,,,,
Lokalna podrška za obitelj - Sveobuhvatna briga za obitelji s ovisnim članom,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Udruga za pomoć osobama s mentalnom retardacijom Slavonski Brod ,66861281361,24.09.2013,24.03.2015,"1.294.001,89 €","1.494.401,12 €",,,,,
NOVE MOGUĆNOSTI - veći izgledi za zapošljavanje nezaposlenih mladih ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,Udruga za razvoj civilnog društva SMART  ,8638812248,05.01.2015,05.09.2016,"1.314.263,19 €","1.383.580,62 €",,,,,
Lokalno partnerstvo za zapošljavanje Ličko-senjske županije,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,PRIMORSKO-GORANSKA,"Razvojna agencija Ličko-senjske županije - LIRA za poticanje, provedbu i koordinaciju aktivnosti regionalnog razvoja u Ličko-senjskoj županiji",21189792035,16.02.2015,16.02.2016,"204.306,54 €","220.008,11 €",,,,,
Jednake mogućnosti – Inkluzivno volontiranje kao put prema integraciji i većoj zapošljivosti,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,VOLONTERSKI CENTAR - OSIJEK ,64735588578,03.12.2010,03.12.2011,"768.542,59 €","959.718,56 €",,,,,
Unaprjeđenje zapošljivosti kao preduvjeta za bolju socijalnu uključenost,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Centar za održivi razvoj ,14866158141,03.12.2010,03.12.2011,"548.970,37 €","645.847,49 €",,,,,
Potpora socijalnoj uključenosti i integraciji na tržište rada žena koje su preživjele obiteljsko nasilje te druge oblike rodno uvjetovanog nasilja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,AUTONOMNA ŽENSKA KUĆA ZAGREB - ŽENE PROTIV NASILJA NAD ŽENAMA ,25904655993,03.12.2010,03.12.2011,"861.610,28 €","1.013.778,44 €",,,,,
Višerazinska podrška promociji socijalnog uključivanja i zapošljavanja osoba s posebnim potrebama te marginaliziranih skupina,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,"""ĆAKULA KROZ ŽIVOT"" Split",74676678754,03.12.2010,03.12.2011,"818.631,50 €","963.095,85 €",,,,,
Žene na tržištu rada,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Hrvatski zavod za zapošljavanje ,91547293790,26.02.2009,22.08.2012,"6.675.079,95 €","6.675.079,95 €",,,,,
Obrazovanjem do samostalnog poduzetništva,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Callegari - talijanska škola mode i dizajna ,20532246264,22.10.2010,22.10.2011,"1.531.623,02 €","1.883.915,13 €",,,,,
Dizajnom namještaja do konkurentnog hrvatskog proizvoda,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Callegari – talijanska škola mode i dizajna ,20532246264,18.10.2013,18.10.2014,"1.148.842,92 €","1.297.834,30 €",,,,,
Volonterski centri - spona između volonterstva i zapošljivosti mladih,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,UDRUGA ZA RAZVOJ CIVILNOG DRUŠTVA - SMART ,8638812248,02.05.2011,02.05.2012,"840.541,39 €","989.920,33 €",,,,,
Projekt poboljšanja zapošljivosti mladih,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,CENTAR ZA POTICANJE PODUZETNIŠTVA I OBRTNIŠTVA - SPLIT ,55360595684,02.05.2011,02.05.2012,"787.392,74 €","985.472,81 €",,,,,
Forum socijalnih poduzetnika,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Slap – Udruga za kreativni razvoj ,35348022848,26.01.2011,26.01.2012,"765.921,88 €","919.805,34 €",,,,,
"Partnerstvo za razvoj ljudskih potencijala za dugotrajno nezaposlene i socijalno isključene osobe 

",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Liga za prevenciju ovisnosti ,45109427275,26.01.2011,26.01.2012,"660.100,00 €","777.961,08 €",,,,,
Infrastruktura transfera tehnologije u hrvatskom dijelu jadranske regije ,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,SPLITSKO-DALMATINSKA,Sveučilište u Splitu ,29845096215,05.04.2013,05.08.2015,"5.740.629,34 €","6.911.424,66 €",,,,,
Istraživanje i promocija korištenja plitkih geotermalnih potencijala u Republici Hrvatskoj,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,SPLITSKO-DALMATINSKA,FAKULTET STROJARSTVA I BRODOGRADNJE SVEUČILIŠTA U ZAGREBU ,22910368449,03.06.2013,03.06.2015,"3.205.890,62 €","3.903.909,67 €",,,,,
Kompetencijska mreža zasnovana na informacijsko-komunikacijskim tehnologijama za inovativne usluge namijenjene osobama sa složenim komunikacijskim potrebama,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,SPLITSKO-DALMATINSKA,Sveučilište u Zagrebu Fakultet elektrotehnike i računarstva ,57029260362,29.03.2013,29.03.2015,"4.210.720,01 €","5.876.790,02 €",,,,,
Tehnologija električnih strojeva s trajnim magnetom za povećanje energetske učinkovitosti u električnoj vuči i brodskoj propulziji,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,SPLITSKO-DALMATINSKA,Sveučilište u Zagrebu Fakultet elektrotehnike i računarstva ,57029260362,08.04.2013,08.04.2015,"1.818.760,07 €","2.141.229,16 €",,,,,
"ENHEMS-zgrade - Unapređenje kapaciteta istraživanja, razvoja i transfera tehnologije vezanih uz sustave gospodarenja energijom u zgradama",Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,SPLITSKO-DALMATINSKA,Sveučilište u Zagrebu Fakultet elektrotehnike i računarstva ,57029260362,09.04.2013,31.07.2015,"3.668.752,16 €","4.359.258,73 €",,,,,
Aditivne tehnologije za mala i srednje velika poduzeća,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,SPLITSKO-DALMATINSKA,FAKULTET STROJARSTVA I BRODOGRADNJE SVEUČILIŠTA U ZAGREBU ,22910368449,29.03.2013,29.03.2015,"4.226.742,89 €","5.001.470,66 €",,,,,
Jačanje znanstveno-poslovne suradnje u području intraoperativne neurofiziologije u Hrvatskoj,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,SPLITSKO-DALMATINSKA,"Sveučilište u Splitu, Medicinski fakultet",2879747067,08.04.2013,08.04.2015,"2.637.153,13 €","3.119.783,63 €",,,,,
Ubrzana identifikacija stanica u kliničkoj primjeni,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,SPLITSKO-DALMATINSKA,Institut Ruđer Bošković ,69715301002,19.03.2013,19.03.2015,"4.069.748,15 €","4.834.578,50 €",,,,,
Elmap ZELENA energetska rješenja za zbrinjavanje otpadnih voda i sektor pročišćavanja,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,SPLITSKO-DALMATINSKA,"Elmap, elektromagnetska mjerenja, analize i projektiranje d.o.o.",26579535545,19.06.2013,19.10.2014,"1.531.860,00 €","1.813.281,22 €",,,,,
Uređenje i opremanje Razvojno-inovacijskog centra (iNavis) u Šibeniku,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,SPLITSKO-DALMATINSKA,JAVNA USTANOVA RAZVOJNA AGENCIJA ŠIBENSKO-KNINSKE ŽUPANIJE za koordinaciju i poticanje regionalnog razvoja šibensko-kninske županije ,21715496907,16.06.2014,16.06.2016,"7.655.769,98 €","9.748.847,50 €",,,,,
Modifikacija postojećih kurikuluma uvođenjem novih tehnologija,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Pomorska škola Split ,37666400578,27.09.2010,27.09.2011,"1.105.206,35 €","1.300.242,77 €",,,,,
Agroturistički centar izvrsnosti - Hrvatsko iskustvo kao ideja za EU-model,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,POLJOPRIVREDNA ŠKOLA ,24154741411,27.09.2010,27.11.2011,"1.774.638,44 €","2.182.290,28 €",,,,,
Zapošljavanje slijepih osoba – prednost ili nedostatak,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,HRVATSKA UDRUGA ZA ŠKOLOVANJE PASA VODIČA I MOBILITET ,84108603042,03.12.2010,03.12.2011,"638.391,24 €","759.989,60 €",,,,,
Na putu prema zaposlenju - Razvoj novih znanja i vještina visokoobrazovanih nezaposlenih osoba,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,UDRUGA ZA RAZVOJ CIVILNOG DRUŠTVA - SMART ,8638812248,21.09.2012,21.03.2014,"1.134.881,39 €","1.194.737,75 €",,,,,
Prostor za aktivnu zajednicu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Savez udruga Operacija grad ,41417657157,12.11.2013,12.05.2015,"459.558,00 €","574.447,50 €",,,,,
Zajedno za prirodu i okoliš,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,"Udruga za prirodu, okoliš i održivi razvoj Sunce",17644269011,09.12.2013,09.12.2015,"459.491,21 €","916.233,81 €",,,,,
Uz aktivno građanstvo prema razvoju i boljoj kvaliteti života u lokalnim zajednicama u Južnoj Hrvatskoj,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Udruga za promicanje ljudskih prava i medijskih sloboda Cenzura Plus ,13770912259,12.11.2013,12.11.2015,"459.558,00 €","540.669,99 €",,,,,
Neka se i glas građana čuje,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Centar za mirovne studije ,8770925700,10.02.2014,10.08.2015,"765.861,30 €","1.117.556,28 €",,,,,
Promicanje zapošljivosti mlade populacije na geografski izoliranim / udaljenim otocima,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,"DEŠA – Dubrovnik, humanitarna i mirotvorna organizacija",98975566716,10.02.2014,10.02.2015,"405.933,33 €","483.369,08 €",,,,,
Školski volonteri,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Forum za slobodu odgoja ,7853602203,10.03.2014,10.09.2015,"780.524,57 €","918.264,21 €",,,,,
Prema punim potencijalima – Volontiranje osnažuje ljude i zajednice,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,Mreža mladih Hrvatske ,25858858563,10.03.2014,10.09.2015,"919.066,98 €","1.177.837,96 €",,,,,
Volontiranjem prema društveno i ekonomski snažnijim zajednicama,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,"Udruga za promicanje ljudskih prava i medijskih sloboda ""CENZURA PLUS""",13770912259,10.03.2014,10.12.2015,"885.415,08 €","1.042.400,63 €",,,,,
Žene na tržištu rada – problem ili prilika,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,SPLITSKO-DALMATINSKA,"Domine, feministička organizacija za promicanje ženskih prava i razvoj civilnog društva",66411463963,16.11.2010,16.11.2011,"984.779,49 €","1.158.836,77 €",,,,,
